province_left_out,coef,se
Ardabil,-1.2974562827764038,0.11224285346237285
Bushehr,-1.3480283375838882,0.12499537471559827
Chaharmahal and Bakhtiari,-1.3109376695319854,0.11707426882666293
East Azerbaijan,-1.3013410507196372,0.11415250295156355
Fars,-1.3320952123213836,0.12092068157563436
Gilan,-1.3065043969040606,0.11617641873033824
Golestan,-1.3061187639085117,0.1157646205823691
Hamedan,-1.2888148323788742,0.11044787118703205
Hormozgan,-1.3264176214307002,0.12250857781906475
Ilam,-1.3092533335034684,0.11638626256491652
Isfahan,-1.332223652929951,0.12124921052140525
Kerman,-1.370518062638204,0.12005018224796708
Kermanshah,-1.3032679795204258,0.11407666749003859
Khuzestan,-1.3098868589212187,0.11778811937078669
Kohgiluyeh and Boyer-Ahmad,-1.3015351234276002,0.11352434258905957
Kurdistan,-1.3051683924163187,0.11460380693511645
Lorestan,-1.3076840880210516,0.11517362699499617
Markazi,-1.3026338084193338,0.11522466339031578
Mazandaran,-1.2947542888609709,0.11187205540467586
North Khorasan,-1.3261257934237434,0.11990553153015188
Qazvin,-1.3020525980424302,0.11458504304365855
Qom,-1.3366612279759835,0.12221177347893562
Razavi Khorasan,-1.3091065759663092,0.11763387511787579
Semnan,-1.3110495374639108,0.11743966725146075
Sistan and Baluchestan,-1.3313732609780666,0.12185856177047537
South Khorasan,-1.2987013309709323,0.11836677243967135
Tehran,-1.2997621770583336,0.11515651778047759
West Azerbaijan,-1.3091145016880803,0.11618247300401269
Yazd,-1.3924866291541667,0.11218313029877836
Zanjan,-1.3027373473722965,0.11456332282741408
