variable,n,mean,sd,min,p25,p50,p75,max
onset,6480,0.062345679012345785,0.24180098865977057,0,0,0,0,1
bmgap2015adj,6480,-0.4302915167347685,0.20912614198440257,-0.9794073778,-0.592363927625,-0.45563797315,-0.271798653825,0.09564883712
fuel_dependency_hbsir,6480,0.22859366312305315,0.0989476102889828,0.04529778340240711,0.15579288761986784,0.2133936951150105,0.2749871537796072,0.5417497315090857
subsidy_x_fueldep_hbsir,6480,-0.09127098994369959,0.05590356137264716,-0.4126773069302212,-0.11656752050264599,-0.0816626668069591,-0.05427727580017936,0.05181773182891627
brent_shock,6120,1.3198555548198776,17.491718572926658,-61.148924096307944,-6.174959436191958,2.1972358302294097,11.563578914932524,41.96742501097937
price_usd_2015,6480,0.23589728008842598,0.10127358799951414,0.1002754477,0.114248999425,0.2628701186,0.327377778425,0.4245907199
