Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);70592860;100;78429495;100;93556251;100;94471713;100;95840847;100;138697673;100;141102171;100;108542497;100;89105296;100;84372417;100;70576353;100;104608702;100;76201341;100;71414735;100;72905686;100;105738964;100;95869133;100;81849830;100;89758679;100;87899604;100;73019937;100;146697509;100;88149800;100;81233746;100;61747106;100;97887078;100;92125697;100;65819565;100;87414155;100;79616379;100;;;
Food & Beverages;19588665;27. Aug;21145386;27;26644372;28. May;24057259;25. May;29825169;31. Jan;29499199;21. Mar;23530276;16. Jul;30262532;27. Sep;19751398;22. Feb;17956752;21. Mar;21145391;30;27120880;25. Sep;17612597;23. Jan;15225009;21. Mar;22537812;30. Sep;26709558;25. Mar;23372838;24. Apr;17043379;20. Aug;24251493;27;20544567;23. Apr;19378422;26. May;43245904;29. May;22345019;25. Apr;20303627;25;18923633;30. Jun;24399939;24. Sep;25121954;27. Mar;17923720;27. Feb;22384419;25. Jun;23407136;29. Apr;;;
Tobacco;513999;0.7;669775;0.9;519942;0.6;380822;0.4;441458;0.5;255500;0.2;421255;0.3;691702;0.6;80444;0.1;120409;0.1;106945;0.2;448857;0.4;225273;0.3;145908;0.2;207655;0.3;493957;0.5;279117;0.3;236598;0.3;461810;0.5;501732;0.6;324326;0.5;313487;0.2;348106;0.4;432369;0.5;523119;0.8;290708;0.3;401713;0.4;479413;0.7;392444;0.4;292183;0.4;;;
Clothing & Shoes;4124074;05. Aug;4788518;06. Jan;8936550;09. Jun;4114497;04. Apr;6274741;06. May;5775960;04. Jan;5446333;03. Sep;5693672;05. Feb;5570447;06. Feb;3814616;04. May;4482624;06. Apr;4120856;03. Sep;5672850;07. May;3419304;04. Aug;5065540;06. Sep;5875895;05. May;4873830;05. Jan;4315328;05. Mar;6501187;07. Feb;4211331;04. Aug;3478756;04. Aug;8507487;05. Aug;5153391;05. Aug;4685253;05. Aug;3138487;05. Jan;5606632;05. Jul;4806375;05. Feb;2131500;03. Feb;6598609;07. Jun;4096093;05. Jan;;;
Housing; water; electricity; gas and fuels;19634028;27. Aug;16617917;21. Feb;16290789;17. Apr;26950216;28. May;19034679;19. Sep;33255422;24;63188116;44.8;21510271;19. Aug;18986282;21. Mar;23560394;27. Sep;16049063;22. Jul;28330452;27. Jan;18450626;24. Feb;16471386;23. Jan;12751917;17. May;28500855;26. Sep;24725638;25. Aug;25139100;30. Jul;17790308;19. Aug;20109661;22. Sep;20331063;27. Aug;25097708;17. Jan;20574976;23. Mar;21934614;27;18568217;30. Jan;21518775;22;21554196;23. Apr;19341164;29. Apr;19798825;22. Jul;14890615;18. Jul
Supplies & services used in home furnishings;3539151;5;5462308;7;7781388;08. Mar;5174906;05. May;5461525;05. Jul;7580244;05. May;5871581;04. Feb;6948165;06. Apr;4311469;04. Aug;3989897;04. Jul;3697447;05. Feb;5385414;05. Feb;4575753;6;2798588;03. Sep;3887039;05. Mar;5474080;05. Feb;6286791;06. May;6722960;08. Feb;6863846;07. Jul;5921222;06. Jul;3345981;04. Jun;7850229;05. Apr;4852382;05. May;4938780;06. Jan;2960223;04. Aug;6151222;06. Mar;5852415;06. Apr;2635900;4;7071452;08. Jan;5092959;06. Apr;;;
Healthcare;3314580;04. Jul;3385460;04. Mar;3854968;04. Jan;4342626;04. Jun;4955119;05. Feb;5278850;03. Aug;5483568;03. Sep;4133406;03. Aug;2114915;02. Apr;2552060;3;3263770;04. Jun;5656041;05. Apr;3529939;04. Jun;4803988;06. Jul;3105881;04. Mar;4419965;04. Feb;4008748;04. Feb;3346844;04. Jan;3594044;4;4006046;04. Jun;3965570;05. Apr;52484066;03. Jun;3920581;04. May;2862056;03. May;2462992;4;5678350;05. Aug;4352807;04. Jul;3074990;04. Jul;5982715;06. Aug;2094727;02. Jun;;;
Transportation;7461556;10. Jun;11725672;15;11171364;11. Sep;10035569;10. Jun;10004800;10. Apr;30052515;21. Jul;13431873;09. May;12586270;11. Jun;20276172;22. Aug;14827042;17. Jun;6941951;09. Aug;13896081;13. Mar;9824159;12. Sep;11981712;16. Aug;12641510;17. Mar;12947662;12. Feb;12511361;13;8968058;11;10618908;11. Aug;13792436;15. Jul;7252182;09. Sep;24846639;16. Sep;13750518;15. Jun;9318200;11. May;5657892;09. Feb;12826012;13. Jan;9273186;10. Jan;8202152;12. May;5343318;06. Jan;11459724;14. Apr;;;
Connections;2046807;02. Sep;2235513;02. Aug;2136669;02. Mar;2087757;02. Feb;2808124;02. Sep;3643154;02. Jun;2968872;02. Jan;3226123;3;2922722;03. Mar;2321925;02. Aug;1779020;02. May;3192453;03. Jan;1814321;02. Apr;2066788;02. Sep;2458514;03. Apr;2823858;02. Jul;2362947;02. May;2149489;02. Jun;2824910;03. Feb;2486851;02. Aug;1957458;02. Jul;5315904;03. Jun;2661739;3;2380814;02. Sep;1344988;02. Feb;2949590;3;2352758;02. May;2013497;03. Jan;2036453;02. Mar;2032150;02. Jun;;;
Recreation & cultural affairs;1213046;01. Jul;1281883;01. Jun;2043982;02. Feb;3066008;03. Feb;2068635;02. Feb;2448360;01. Aug;2897481;2;3384831;03. Jan;2070915;02. Mar;2790386;03. Mar;2118896;3;2230793;02. Jan;1993871;02. Jun;2244794;03. Jan;1403982;01. Sep;2960473;02. Aug;2763897;02. Sep;2386571;02. Sep;3359987;03. Jul;2896510;03. Mar;1944150;02. Jul;4576145;03. Jan;2570266;02. Sep;2152938;02. Jun;632279;1;3144371;03. Feb;2918479;03. Feb;1064117;01. Jun;2987181;03. Apr;3024512;03. Aug;;;
Schooling;1710220;02. Apr;1273390;01. Jun;1689730;01. Aug;1993511;02. Jan;1759532;01. Aug;2742350;2;3036061;02. Jan;2574537;02. Apr;1265850;01. Apr;2138725;02. May;1537930;02. Feb;2319158;02. Feb;1232362;01. Jun;2725020;03. Aug;1291817;01. Aug;2185768;02. Jan;2515459;02. Jun;1054200;01. Mar;1302070;01. May;1967523;02. Feb;1305209;01. Aug;4590770;03. Jan;1874141;02. Jan;1639989;2;804957;01. Mar;2679778;02. Jul;2199367;02. Apr;1512300;02. Mar;2575079;3;1175282;01. May;;;
Restaurants & Hotels;1325078;01. Sep;884920;01. Jan;2173737;02. Mar;2641464;02. Aug;1118487;01. Feb;3861950;02. Aug;3150594;02. Feb;2684992;02. May;1431990;01. Jun;1725569;02. Jan;1004325;01. Apr;2484778;02. Apr;1037218;01. Apr;859774;01. Feb;1385836;01. Sep;3057687;02. Sep;1915304;2;1989053;02. Apr;1849619;02. Jan;2508984;02. Aug;1599501;02. Feb;1678588;01. Feb;1744037;2;1511549;01. Sep;492738;0.8;1929752;2;2592078;02. Aug;584711;0.9;2516420;02. Sep;1534996;01. Sep;;;
Miscellaneous goods and services;6121656;08. Jul;8958753;11. Apr;10312760;11;9627078;10. Feb;12088578;12. Jun;14304169;10. Mar;11676161;08. Mar;14845996;13. Jul;10322692;11. Jun;8574642;10. Feb;8448991;12;9422939;9;10232372;13. Apr;8672464;12. Feb;6168183;08. May;10289206;09. Jul;10253203;10. Jul;8498250;10. Apr;10340497;11. May;8952741;10. Feb;8137319;11. Jan;15426582;10. May;8354644;09. May;9073557;11. Feb;6237581;10. Jan;10711949;11;10700369;11. Jun;6856101;10. Apr;9727240;11. Jan;10516002;13. Feb;;;
The average number of people in each province;Mar 84;;Apr 14;;Apr 63;;Mar 66;;Apr 84;;Apr 26;;Mar 58;;Apr 32;;Mar 99;;Mar 94;;Mar 97;;Apr 47;;Mar 85;;Mar 63;;05. Aug;;Apr 17;;Mar 79;;4,03;;04. Jul;;Apr 35;;Mar 96;;May 16;;Mar 72;;Mar 43;;Apr 23;;Mar 74;;Mar 59;;Apr 55;;Mar 97;;Mar 77;;;;
