Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);124215531;100;109646392;100;120218201;100;153682916;100;131924584;100;134901460;100;185376945;100;143215883;100;148301338;100;117106968;100;103864364;100;138082941;100;120562626;100;121786174;100;109804308;100;130545654;100;152668401;100;130356711;100;99855763;100;152038166;100;115831616;100;138221531;100;119655776;100;134190308;100;94542875;100;149407154;100;134927633;100;87382527;100;117055367;100;127104714;100;;;
Food & Beverages;34209866;27.5;29256815;26.7;35826938;29.8;40403269;26.3;48040364;36.4;32605304;24.2;33785756;18.2;47462445;33.1;39889017;26.9;28617067;24.4;28807739;27.7;37013190;26.8;34134154;28.3;35039063;28.8;34813776;31.7;33164569;25.4;39478877;25.9;29304390;22.5;29176336;29.2;35922536;23.6;35457891;30.6;41897656;30.3;32707689;27.3;40979669;30.5;32004865;33.8;35906582;24;38389356;28.4;27407415;31.4;41908162;35.8;41500441;32.6;;;
Tobacco;603734;0.5;837979;0.8;467245;0.4;333292;0.2;420497;0.3;1158974;0.9;603914;0.3;529756;0.4;202488;0.1;224408;0.2;272609;0.3;393438;0.3;557317;0.5;385622;0.3;222275;0.2;478352;0.4;677531;0.4;352647;0.3;457770;0.5;690482;0.4;550452;0.5;674981;0.5;431726;0.4;835648;0.6;444829;0.5;342078;0.2;607480;0.4;349546;0.4;631853;0.5;378660;0.3;;;
Clothing & Shoes;6668207;5.4;6377625;5.8;7534770;6.3;6550600;4.3;7100385;5.4;6095608;4.5;7548471;4.1;8647541;6;8443714;5.7;5953810;5.1;6207642;6;6193587;4.5;7030848;5.8;7020810;5.8;7054000;6.4;6167561;4.7;10003457;6.6;5370731;4.1;6192400;6.2;7860725;5.2;6284823;5.4;7482000;5.4;5630512;4.7;6965045;5.2;4512154;4.8;8752191;5.9;10602109;7.9;2809354;3.2;6532604;5.6;5779857;4.6;;;
Housing; water; electricity; gas and fuels;34857665;28.1;26474749;24.2;21363400;17.8;44509436;29;22420027;17;33531862;24.9;80192432;43.3;29759300;20.8;25856188;17.4;34776455;29.7;20964355;20.2;32216775;23.3;26384649;21.9;24893417;20.4;20956407;19.1;35061927;26.9;33221806;21.8;36654763;28.1;26530251;26.6;31915241;21;28132834;24.3;32708661;23.7;30994747;25.9;33939809;25.3;24467712;25.9;37648022;25.2;28821518;21.4;26753229;30.6;23320013;19.9;22753792;17.9
Supplies & services used in home furnishings;6765276;5.4;8069116;7.4;7750696;6.4;10278203;6.7;6429614;4.9;6996297;5.2;6344377;3.4;8124225;5.7;14048673;9.5;6289549;5.4;5055028;4.9;8111012;5.9;8451784;7;8056526;6.6;5751726;5.2;6214439;4.8;11404505;7.5;7088389;5.4;6067007;6.1;11054825;7.3;7166170;6.2;5564967;4;6139571;5.1;6226278;4.6;4180496;4.4;9750857;6.5;10262764;7.6;1874750;2.2;7451210;6.4;9366660;7.4;;;
Healthcare;8120186;6.5;5183315;4.7;7179275;6;9061179;5.9;8969676;6.8;5950701;4.4;9476737;5.1;7209680;5;5832345;3.9;5297176;4.5;7447090;7.2;7740699;5.6;8023057;6.7;8255345;6.8;5723756;5.2;8244633;6.3;8295416;5.4;8750653;6.7;5646772;5.6;11066119;7.3;5140803;4.4;4310483;3.1;6560218;5.5;8830592;6.6;6370348;6.7;10225394;6.8;6603220;4.9;3551129;4.1;5145034;4.4;6819629;5.4;;;
Transportation;13196564;10.6;13701522;12.5;16090446;13.4;15736118;10.2;17391493;13.2;20611329;15.3;17850788;9.6;14943929;10.4;21623647;14.6;15060292;12.9;14020671;13.5;20086066;14.6;13640289;11.3;12033913;9.9;14524920;13.2;15235378;11.7;19760735;12.9;18914750;14.5;9024548;9;20295974;13.4;13772468;11.9;14067286;10.2;14078943;11.8;14555554;10.9;8232225;8.7;20554683;13.8;14873244;11;10739525;12.3;10300647;8.8;16678588;13.1;;;
Connections;2542652;2;2892858;2.6;2584080;2.2;2648659;1.7;3749071;2.8;4548847;3.4;3586057;1.9;3721029;2.6;3725726;2.5;2530193;2.2;2510696;2.4;3725417;2.7;2124563;1.8;3137054;2.6;3005035;2.7;3833859;2.9;3807317;2.5;2798369;2.2;2727378;2.7;3990914;2.6;2264833;2;5699105;4.1;2639163;2.2;2992926;2.2;2794318;3;3494380;2.3;2927379;2.2;2875153;3.3;2313173;2;2473690;2;;;
Recreation & cultural affairs;2426974;2;2647517;2.4;3802568;3.2;4950130;3.2;2725619;2.1;4006750;3;4757158;2.6;4800298;3.4;4601607;3.1;2995812;2.6;3136450;3;3308064;2.4;4201522;3.5;4609070;3.8;3320711;3;3940831;3;5137018;3.4;4279539;3.3;2692638;2.7;6303495;4.2;2503682;2.2;3795977;2.8;4262462;3.6;3428119;2.6;1811929;1.9;4404873;3;4092664;3;972774;1.1;3130683;2.7;4501136;3.5;;;
