Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Alborz – Cost in Rials;Alborz – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);184182856;100;172274767;100;172090817;100;239829745;100;211424786;100;270156400;100;239872501;100;291279978;100;196852266;100;198303281;100;168344542;100;163694660;100;212978937;100;198321308;100;222703725;100;139177220;100;225233718;100;200904452;100;189263025;100;138364179;100;219802290;100;169060356;100;277606480;100;190299777;100;198000156;100;132663717;100;208607975;100;197012787;100;114993716;100;218800417;100;186470193;100;;;
Food & Beverages;53744865;29.2;54140993;31.4;56971431;33.1;65321254;27.4;46103858;21.8;89771326;33.2;63251074;26.4;52197303;17.9;65753624;33.4;67686160;34.1;46366939;27.5;47965602;29.3;67043264;31.5;52077044;26.3;62172379;27.9;55330119;39.8;60510585;26.9;53904729;26.8;55021591;29.1;47865843;34.6;62861581;28.6;59179395;35;92096576;33.2;55513374;29.2;56412484;28.5;46376025;35;53695507;25.7;63511799;32.2;37936992;33;69179604;31.6;66325421;35.6;;;
Tobacco;1034341;0.6;1371665;0.8;1417892;0.8;738705;0.3;783609;0.4;1173893;0.4;626013;0.3;861381;0.3;1056504;0.5;485019;0.2;472504;0.3;125469;0.1;1013572;0.5;706427;0.4;662703;0.3;385455;0.3;827577;0.4;1256855;0.6;1347839;0.7;687702;0.5;1110256;0.5;551619;0.3;1545971;0.6;546407;0.3;1206021;0.6;638750;0.5;689095;0.3;1121234;0.6;596452;0.5;1416656;0.6;686124;0.4;;;
Clothing & Shoes;9421000;5.1;11726722;6.8;11837844;6.9;9932106;4.1;8439363;4;18869344;7;12631625;5.3;8864270;3.1;9949469;5.1;9292042;4.7;7382910;4.4;10729000;6.6;8641271;4.1;13968725;7;11705125;5.3;6101200;4.4;9833807;4.4;13072325;6.5;8158825;4.3;9132000;6.6;10984406;5;9851250;5.8;16432860;5.9;11708375;6.1;11845393;6;6276550;4.7;12336207;5.9;13488300;6.8;3188625;2.8;10317925;4.7;8830750;4.7;;;
Housing; water; electricity; gas and fuels;55040761;29.9;38775063;22.5;32260982;18.8;75191090;31.4;84840814;40;44459364;16.5;63881136;26.6;146744348;50.4;46477387;23.6;38540513;19.4;53982989;32.1;32276540;19.7;54599630;25.6;40169147;20.2;38181338;17.1;28454679;20.4;65292464;29;54729923;27.2;52089873;27.5;39894099;28.8;46086847;21;42684137;25.3;41284085;14.9;46572933;24.5;49661898;25.1;35195002;26.5;53015802;25.4;45252185;23;34374179;29.9;49823201;22.8;35524702;19
Supplies & services used in home furnishings;11513710;6.2;9512730;5.5;10860404;6.3;12823685;5.4;6064336;2.9;15509328;5.7;13237305;5.5;8634859;3;9939567;5.1;11834796;6;7029338;4.2;11089347;6.8;10600803;5;9698467;4.9;12574324;5.6;6982928;5;10100804;4.5;9778785;4.9;10440000;5.5;5735738;4.2;11907328;5.4;9442708;5.6;18211349;6.6;11486323;6;8013961;4;5292182;4;8714110;4.2;11021127;5.6;2649979;2.3;11176219;5.1;9897982;5.3;;;
Healthcare;10083711;5.5;8583632;5;11079120;6.4;11916180;5;11659388;5.5;20340425;7.5;15502975;6.5;14382996;4.9;7238932;3.7;6594590;3.3;8648409;5.1;9354361;5.7;13315979;6.2;13113288;6.6;15303552;6.9;8910333;6.4;19257963;8.5;8083658;4;9145186;4.8;5129763;3.7;10734175;4.9;7245941;4.3;11794397;4.2;10525010;5.5;13772176;7;7375138;5.6;18048694;8.7;9474538;4.8;3580226;3.1;9674827;4.4;7137071;3.8;;;
Transportation;14295932;7.8;17639998;10.2;17697131;10.3;23113548;9.4;21970133;10.4;25405636;9.4;27001262;11.3;22229514;7.6;20933568;10.6;19544340;9.9;17817053;10.6;17958304;11;18132350;8.5;29892507;15.1;21273788;9.5;12018559;8.6;22790665;10.1;18256669;9.1;18208369;9.6;10101972;7.3;26823241;12.2;14422078;8.5;36767225;13.2;18735499;9.8;22293023;11.3;11060432;8.3;20273337;9.7;18771702;9.5;15889655;13.8;24401663;11.1;19263753;10.3;;;
Connections;3436143;1.9;3964704;2.3;3318927;1.9;4011218;1.7;4618003;2.2;6558437;2.4;6170901;2.6;4997309;1.7;4468514;2.3;4087088;2.1;3445968;2;3684836;2.2;5556443;2.6;3425677;1.7;3981053;1.8;3067267;2.2;4995377;2.2;4394278;2.2;3932116;2.1;3513985;2.5;5136109;2.3;2901665;1.7;6722479;2.4;4125952;2.2;4590650;2.3;3749048;2.8;5175259;2.5;3860219;2;3333015;2.9;4713420;2.2;4381104;2.4;;;
Recreation & cultural affairs;3893413;2.1;3267150;1.9;3537547;2.1;5885993;2.4;3305500;1.6;8370184;3.1;6094750;2.5;5223135;1.8;4584833;2.3;7459715;3.8;4268973;2.5;5977993;3.6;5576788;2.6;5654817;2.9;9145094;4.1;2161343;1.6;5084411;2.3;6571575;3.3;5845021;3.1;1910469;1.4;8083219;3.7;3653274;2.2;8348479;3;5108302;2.7;4832417;2.4;2590850;2;5325374;2.6;4927588;2.5;1497135;1.3;6696133;3.1;6099017;3.3;;;
