Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);10143632;100;89777911;100;111054289;100;113616321;100;116963264;100;129076217;100;159194748;100;123611758;100;89312190;100;86412804;100;86372985;100;106782915;100;91365469;100;95367220;100;90856409;100;109638389;100;106777077;100;78122956;100;90259248;100;111162122;100;86282415;100;132784053;100;104390696;100;91664307;100;77621013;100;117812641;100;109366088;100;87865640;100;102912480;100;115097066;100;;;
Food & Beverages;2795603;27.6;25236147;28.1;33058260;29.8;28322756;24.9;39713349;33.9;33816648;26.2;25486264;16;32824816;26.6;23321292;26.1;19796337;22.9;23808584;27.6;31687276;29.7;21215903;23.2;26698896;28;35151733;38.7;27936300;25.5;29209616;27.4;18596060;23.8;24316784;26.9;30237064;27.2;23406467;27.1;43557577;32.8;28657104;27.5;23720388;25.9;26327137;33.9;30165279;25.6;29899097;27.3;23584478;26.8;31686348;30.8;31824424;27.7;;;
Tobacco;79373;0.8;482090;0.5;389546;0.4;272636;0.2;370004;0.3;927100;0.7;535143;0.3;664880;0.5;278072;0.3;131187;0.2;96907;0.1;362930;0.3;319260;0.3;233508;0.2;115295;0.1;567628;0.5;604598;0.6;308946;0.4;528679;0.6;480630;0.4;612042;0.7;736622;0.6;386548;0.4;644525;0.7;453683;0.6;347619;0.3;468440;0.4;256421;0.3;427907;0.4;284278;0.2;;;
Clothing & Shoes;490302;4.8;5387700;6;7215660;6.5;4935933;4.3;6574500;5.6;6479940;5;5285500;3.3;7068927;5.7;5834052;6.5;3750816;4.3;6775428;7.8;4981591;4.7;4681350;5.1;5351040;5.6;5068272;5.6;4614900;4.2;6404417;6;2882657;3.7;6701015;7.4;5895937;5.3;4593951;5.3;7681596;5.8;5630108;5.4;5475689;6;3748125;4.8;7344800;6.2;6077531;5.6;2894019;3.3;6082318;5.9;7143476;6.2;;;
Housing; water; electricity; gas and fuels;2895718;28.5;21109673;23.5;19210600;17.3;36107863;31.8;22783097;19.5;34338176;26.6;77358054;48.6;23448965;19;21003175;23.5;27089251;31.3;20664125;23.9;28695481;26.9;21535824;23.6;21484027;22.5;17865405;19.7;32084788;29.3;28660848;26.8;31566504;40.4;22596030;25;23934532;21.5;24086264;27.9;24428309;18.4;23363192;22.4;26648125;29.1;22053733;28.4;29672609;25.2;25579794;23.4;27561018;31.4;23753219;23.1;19325961;16.8
Supplies & services used in home furnishings;586915;5.8;6365590;7.1;10593366;9.5;6831976;6;5462420;4.7;5792128;4.5;5601959;3.5;10045690;8.1;5786345;6.5;3646463;4.2;5696780;6.6;5200864;4.9;4431168;4.8;5805032;6.1;4958571;5.5;5276226;4.8;5606180;5.3;2916404;3.7;5639587;6.2;6345636;5.7;5724559;6.6;8128232;6.1;7449840;7.1;5255992;5.7;3509123;4.5;6534325;5.5;8255948;7.5;3098517;3.5;5189262;5;7930897;6.9;;;
Healthcare;555951;5.5;3738815;4.2;3985938;3.6;5662915;5;7031390;6;3864200;3;6740707;4.2;5241422;4.2;2893705;3.2;3202289;3.7;5091580;5.9;5111206;4.8;4663866;5.1;4333770;4.5;3986959;4.4;5336929;4.9;3877367;3.6;3428132;4.4;4952812;5.5;5235056;4.7;4648603;5.4;5657172;4.3;3717387;3.6;6006712;6.6;2366229;3;4822914;4.1;4619016;4.2;4125603;4.7;5064310;4.9;5987617;5.2;;;
Transportation;1121064;11.1;11544402;12.9;15942095;14.4;11730350;10.3;16329437;14;20830855;16.1;15589745;9.8;17064901;13.8;10676992;12;14866599;17.2;7039829;8.2;12029818;11.3;17415943;19.1;10750696;11.3;8682228;9.6;13711897;12.5;9787811;9.2;5404646;6.9;9216789;10.2;17940627;16.1;7254691;8.4;13757429;10.4;15674353;15;7387523;8.1;7633591;9.8;17117640;14.5;14508686;13.3;13611641;15.5;12042117;11.7;16392592;14.2;;;
Connections;241318;2.4;2701051;3;2457648;2.2;2548570;2.2;3363370;2.9;3922520;3;3304129;2.1;3655716;3;2793671;3.1;2367310;2.7;2801160;3.2;3739798;3.5;2072905;2.3;2695909;2.8;2519609;2.8;3222191;2.9;3288933;3.1;2163933;2.8;2633656;2.9;3251832;2.9;2723816;3.2;5078876;3.8;2673297;2.6;2855458;3.1;2252526;2.9;3570247;3;2741566;2.5;2678587;3;2820289;2.7;2622620;2.3;;;
Recreation & cultural affairs;177999;1.8;1836874;2;2493636;2.2;3233298;2.9;3047498;2.6;2410450;1.9;3236928;2;3559951;2.9;2673342;3;1980280;2.3;1885483;2.2;2414860;2.3;3522695;3.9;3203156;3.4;1874972;2.1;3254880;3;3364448;3.2;2641842;3.4;2617181;2.9;2961325;2.7;1861554;2.2;4181796;3.1;3136878;3;2772050;3;1535453;2;3495655;3;2374210;2.2;908865;1;3538465;3.4;3705098;3.2;;;
Schooling;293978;2.9;1770254;2;1797450;1.6;2148652;1.9;1787112;1.5;2462140;1.9;3400203;2.1;3742613;3;2490078;2.8;1852955;2.1;1738180;2;2780236;2.6;1744068;1.9;3173890;3.3;1966250;2.2;3120032;2.8;3315977;3.1;1190228;1.5;1328515;1.5;2105895;1.9;2479390;2.9;4526846;3.4;2293500;2.2;1954170;2.1;1907722;2.5;3472138;2.9;3414460;3.1;2377923;2.7;2432575;2.4;1991935;1.7;;;
Restaurants & Hotels;197628;1.9;1403469;1.6;3038300;2.7;3414738;3;815443;0.7;3005912;2.3;3316097;2.1;4708892;3.8;1836786;2.1;1560354;1.8;2266802;2.6;2245703;2.1;1957734;2.1;1752337;1.8;1305565;1.4;2194599;2;2898336;2.7;1504807;1.9;2093916;2.3;3180709;2.9;1818774;2.1;3010584;2.3;2209577;2.1;1374567;1.5;592849;0.8;2279438;1.9;2485761;2.3;1790463;2;2563456;2.5;2430576;2.1;;;
Miscellaneous goods and services;707780;7;8201846;9.1;10871790;9.8;8406634;7.4;9685644;8.3;11226148;8.7;9340019;5.9;11584985;9.4;9724680;10.9;6168963;7.1;8508127;9.9;7533152;7.1;7804753;8.5;9884959;10.4;7361550;8.1;8318019;7.6;9758546;9.1;5518797;7.1;7634284;8.5;9592879;8.6;7072304;8.2;12039014;9.1;9198912;8.8;7569108;8.3;5240842;6.8;8989977;7.6;8941579;8.2;4978105;5.7;7312214;7.1;15457592;13.4;;;
