Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Alborz – Cost in Rials;Alborz – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);235344379;100;232665037;100;259365165;100;314357889;100;273677470;100;317135797;100;277172579;100;409317327;100;273297103;100;266306159;100;215125620;100;206039877;100;269606183;100;217267223;100;257444623;100;181012818;100;290854772;100;290232153;100;240000196;100;228833370;100;273362534;100;205506860;100;377741403;100;241119422;100;265539633;100;172805750;100;244989714;100;255975893;100;168600243;100;230006437;100;235541054;100;;;
Food & Beverages;67783246;28.8;73217938;31.5;79623685;30.7;85418947;27.2;56388998;20.6;125752521;39.6;85955024;31;66912684;16.3;111767417;40.9;78791737;26.6;60630184;28.2;67197738;32.6;82309004;31.5;63412661;29.2;90446754;35.1;78961668;43.6;72266217;24.8;91030486;31.4;59719304;24.9;82985312;36.3;80082730;29.3;70961029;34.5;134439670;35.6;74346349;30.8;78589399;29.6;62463031;36.1;75851497;31;80447735;31.4;64802604;38.4;75085389;32.6;82239770;34.9;;;
Tobacco;1601406;0.7;2419118;1;1518932;0.6;937964;0.3;1058120;0.4;877331;0.3;565560;0.2;1322389;0.3;1338143;0.5;321910;0.1;513752;0.2;383377;0.2;1228804;0.5;1206021;0.6;786081;0.3;1376354;0.8;1015098;0.4;1514370;0.5;901854;0.4;2047897;0.9;1013683;0.4;1083467;0.5;1098802;0.3;956699;0.4;1117541;0.4;887710;0.5;1518494;0.6;1433880;0.6;382109;0.2;1461184;0.6;1436047;0.6;;;
Clothing & Shoes;11831104;5;18984833;8.2;17727538;6.8;12424803;4;9598025;3.5;19201688;6.1;12716563;4.6;13742937;3.4;10754563;3.9;19698750;7.4;11195171;5.2;11669792;5.7;11467346;4.3;13614900;6.3;13578563;5.3;9167500;5.1;12671731;4.4;16347750;5.6;12326100;5.1;14414063;6.3;13395953;4.9;11266167;5.5;23215500;6.2;12597500;5.2;17122771;6.5;8418850;4.9;12658154;5.2;15042400;5.9;6413750;3.8;11967138;5.2;14142850;6;;;
Housing; water; electricity; gas and fuels;70505787;30;50965126;21.9;45229405;17.4;112631756;35.8;116477872;42.6;48107002;15.2;75028652;27.1;211319629;51.6;60458353;22.1;41790423;15.7;66478917;30.9;39389504;19.1;72707877;27;52866978;24.3;47651700;18.5;35566004;19.6;96449326;33.2;71287990;24.6;64691381;27;57513901;25.1;52044022;19;51134334;24.9;57110812;15.1;58171813;24.1;68300520;25.7;41816151;24.2;64981367;26.5;55539179;21.7;49985499;29.6;58556649;25.5;47381393;20.1
Supplies & services used in home furnishings;12300723;5.2;11134444;4.8;17484351;6.7;14537129;4.6;8306650;3;15318386;4.8;12227625;4.4;11822425;2.9;11890949;4.4;19998783;7.5;8971168;4.2;10008294;4.9;13778541;5.1;9760818;4.5;14762379;5.7;7345943;4.1;13494006;4.6;15765798;5.4;12585008;5.2;12126948;5.3;14982872;5.5;9016454;4.4;16508965;4.4;12381624;5.1;11534376;4.3;6659499;3.8;10520149;4.3;11722900;4.6;3194281;1.9;10379872;4.5;14319540;6.1;;;
Healthcare;14308455;6.1;13753860;5.9;12380281;4.8;15805779;5;17423088;6.4;21959023;6.9;18190031;6.6;22802523;5.6;11671813;4.3;9523393;3.6;10485407;4.9;8180125;4;19494101;7.2;11107435;5.1;14141391;5.5;7662402;4.2;17800042;6.1;17012043;5.9;14003833;5.8;11401677;5;15602292;5.7;11865486;5.8;25966174;6.9;12726448;5.3;14941423;5.6;10975233;6.4;15585978;6.4;15481126;6;8565740;5.1;11069930;4.8;9687888;4.1;;;
Transportation;18583715;7.9;19030852;8.2;35261773;13.6;25258855;8;24504575;9;30216125;9.5;24888993;9;28592213;7;14901172;5.4;32974968;12.4;19503046;9.1;16515537;8;21116626;7.8;24727624;11.4;18246465;7.1;15482125;8.5;25387758;8.7;21843044;7.5;27114736;11.3;15625062;6.8;41161183;15.1;18832776;9.2;49175143;13;25446723;10.6;28040926;10.6;14319148;8.3;19871878;8.1;30747363;12;12193477;7.2;19366914;8.4;20758303;8.8;;;
Connections;4100053;1.7;5163692;2.2;4839703;1.9;4783419;1.5;5617554;2;7700475;2.4;6601000;2.4;7623475;1.9;3695996;1.4;5930228;2.2;4412528;2;4613549;2.2;6993028;2.6;4201211;1.9;5026841;2;3976752;2.2;6209457;2.1;6323214;2.2;5307795;2.2;4622430;2;6225279;2.3;3547076;1.7;9071798;2.4;4928917;2;5060507;1.9;4521053;2.6;6392698;2.6;4824687;1.9;4803419;2.8;4649923;2;5032275;2.1;;;
Recreation & cultural affairs;5075076;2.2;4360692;1.9;9163500;3.5;7656157;2.4;4150736;1.5;8146894;2.6;6372938;2.3;7843028;1.9;6786484;2.5;9550714;3.6;5748133;2.7;8837653;4.3;5754050;2.1;5184300;2.4;9093290;3.5;2465235;1.4;7419856;2.6;6708018;2.3;8266329;3.4;4909242;2.2;8085488;3;5057111;2.5;8470208;2.2;6873719;2.9;6432206;2.4;2602600;1.5;6625548;2.7;5938217;2.3;1334479;0.8;5932715;2.6;7825863;3.3;;;
