Price groups and Years;Azarbaijan East – Cost in Rials;Azarbaijan East – Distribution Rate;Azarbaijan West – Cost in Rials;Azarbaijan West – Distribution Rate;Ardabil – Cost in Rials;Ardabil – Distribution Rate;Isfahan – Cost in Rials;Isfahan – Distribution Rate;Ilam – Cost in Rials;Ilam – Distribution Rate;Boushehr – Cost in Rials;Boushehr – Distribution Rate;Tehran – Cost in Rials;Tehran – Distribution Rate;Chaharmahal e Bakhtiari – Cost in Rials;Chaharmahal e Bakhtiari – Distribution Rate;Khorasan South – Cost in Rials;Khorasan South – Distribution Rate;Khorasan Razavi – Cost in Rials;Khorasan Razavi – Distribution Rate;Khorasan North – Cost in Rials;Khorasan North – Distribution Rate;khozestan – Cost in Rials;Khozestan – Distribution Rate;Zanjun – Cost in Rials;Zanjun – Distribution Rate;Semnan – Cost in Rials;Semnan – Distribution Rate;Sistan & Balochestan – Cost in Rials;Sistan & Balochestan – Distribution Rate;Fars – Cost in Rials;Fars – Distribution Rate;Qazvin – Cost in Rials;Qazvin – Distribution Rate;Qom – Cost in Rials;Qom – Distribution Rate;Kordestan – Cost in Rials;Kordestan – Distribution Rate;Kerman – Cost in Rials;Kerman – Distribution Rate;Kermanshah – Cost in Rials;Kermanshah – Distribution Rate;Kohgiluyeh and Boyer-Ahmad – Cost in Rials;Kohgiluyeh and Boyer-Ahmad – Distribution Rate;Golestan – Cost in Rials;Golestan – Distribution Rate;Gilan – Cost in Rials;Gilan – Distribution Rate;Lorestan – Cost in Rials;Lorestan – Distribution Rate;Mazandaran – Cost in Rials;Mazandaran – Distribution Rate;Markazi – Cost in Rials;Markazi – Distribution Rate;Hormozgan – Cost in Rials;Hormozgan – Distribution Rate;Hamadan – Cost in Rials;Hamadan – Distribution Rate;Yazd – Cost in Rials;Yazd – Distribution Rate;;;
The total net cost (in Rials);47945591;100;55881175;100;70197568;100;69087421;100;62053279;100;80466340;100;89699343;100;79136352;100;61877254;100;54044676;100;52023245;100;70814799;100;64510531;100;67962056;100;52406733;100;75207025;100;79780435;100;54275307;100;63612263;100;63924801;100;55237455;100;74853854;100;56035158;100;61690891;100;48262636;100;69891162;100;60783337;100;47111907;100;49175219;100;53831039;100;;;
Food & Beverages;13571796;28.3;15270752;27.3;21668335;30.9;16931083;24.5;17112631;27.6;18722470;23.3;15697916;17.5;22040600;27.9;13266189;21.4;12614471;23.3;14524257;27.9;18298346;25.8;14031181;21.8;13072399;19.2;19352501;36.9;17798425;23.7;17671425;22.2;13115692;24.2;17716794;27.9;13655309;21.4;14515033;26.3;21643025;28.9;13670599;24.4;15636203;25.3;16649847;34.5;15419962;22.1;16555110;27.2;14523053;30.8;13981200;28.4;13613725;25.3;;;
Tobacco;232355;0.5;356339;0.6;409895;0.6;172860;0.3;276104;0.4;356787;0.4;320927;0.4;393411;0.5;112741;0.2;159129;0.3;115431;0.2;349233;0.5;320059;0.5;300121;0.4;189405;0.4;390598;0.5;379895;0.5;277074;0.5;479276;0.8;287057;0.4;347584;0.6;289130;0.4;166407;0.3;386744;0.6;339977;0.7;248261;0.4;318947;0.5;206014;0.4;432746;0.9;279232;0.5;;;
Clothing & Shoes;2673748;5.6;4138003;7.4;6315420;9;3205094;4.6;3975783;6.4;3031332;3.8;4166339;4.6;5288327;6.7;2957036;4.8;2517600;4.7;3170556;6.1;3221411;4.5;4371772;6.8;3305184;4.9;4013181;7.7;4084499;5.4;4411605;5.5;3497854;6.4;4340484;6.8;3943150;6.2;3218400;5.8;5505183;7.4;3604175;6.4;3462868;5.6;3361509;7;4622480;6.6;4616465;7.6;1583653;3.4;2971400;6;2708888;5;;;
Housing; water; electricity; gas and fuels;14291024;29.8;12791472;22.9;11281297;16.1;16936644;24.5;13257202;21.4;22126746;27.5;30532950;34;13241425;16.7;12013713;19.4;14010877;25.9;11341875;21.8;17757782;25.1;13192480;20.5;14218933;20.9;10581553;20.2;20774807;27.6;16633336;20.8;14877890;27.4;13410669;21.1;14195805;22.2;13324182;24.1;15818567;21.1;13619671;24.3;17238071;27.9;13115533;27.2;15752002;22.5;14135750;23.3;14011034;29.7;11122527;22.6;11245398;20.9
Supplies & services used in home furnishings;2467053;5.1;3374198;6;4540158;6.5;3687675;5.3;3525885;5.7;5084850;6.3;4367010;4.9;4682524;5.9;3121813;5;2986419;5.5;4415021;8.5;3896560;5.5;3315575;5.1;4847698;7.1;3083544;5.9;3808130;5.1;7032416;8.8;3500648;6.4;4535028;7.1;3332760;5.2;2929021;5.3;4506526;6;3731279;6.7;3694528;6;2236052;4.6;4228292;6;4760544;7.8;1538050;3.3;4341727;8.8;3239954;6;;;
Healthcare;1786201;3.7;1576714;2.8;2321189;3.3;2713067;3.9;2702041;4.4;1822150;2.3;4054835;4.5;3024513;3.8;1756250;2.8;1724719;3.2;2668484;5.1;3595772;5.1;3610293;5.6;1449564;2.1;1485339;2.8;2867894;3.8;4599438;5.8;1686843;3.1;3128996;4.9;3218295;5;3083762;5.6;1992675;2.7;2606625;4.7;2952932;4.8;1636578;3.4;3966058;5.7;1983799;3.3;1703333;3.6;1611521;3.3;1371341;2.5;;;
Transportation;4916823;10.3;8500048;15.2;9876568;14.1;11612884;16.8;9985114;16.1;13608788;16.9;14509817;16.2;12596789;15.9;16097764;26;10169732;18.8;5518569;10.6;9411348;13.3;13255368;20.5;15297386;22.5;5700175;10.9;11534048;15.3;11536436;14.5;6950898;12.8;8672214;13.6;11180630;17.5;7663109;13.9;9539341;12.7;7768606;13.9;5942146;9.6;2580401;5.3;12039796;17.2;7575578;12.5;7352628;15.6;6049742;12.3;9190528;17.1;;;
Connections;713241;1.5;1021405;1.8;925604;1.3;967614;1.4;920290;1.5;1863034;2.3;1663446;1.9;1142019;1.4;810476;1.3;870080;1.6;705957;1.4;1303128;1.8;1018597;1.6;1329688;2;860682;1.6;1497540;2;1448650;1.8;1046733;1.9;1313151;2.1;1323775;2.1;1013760;1.8;1748737;2.3;914245;1.6;1530504;2.5;802036;1.7;1564847;2.2;874801;1.4;977940;2.1;687304;1.4;849650;1.6;;;
Recreation & cultural affairs;1092002;2.3;1416390;2.5;2258199;3.2;2369124;3.4;1315432;2.1;2252142;2.8;2293993;2.6;2662480;3.4;1754326;2.8;1772080;3.3;2001453;3.8;2394098;3.4;2138337;3.3;2905308;4.3;1223283;2.3;2394623;3.2;2314649;2.9;1913808;3.5;1950416;3.1;2599134;4.1;1239793;2.2;2046879;2.7;1794641;3.2;2014419;3.3;1234735;2.6;2207550;3.2;1921151;3.2;612117;1.3;1659325;3.4;2545648;4.7;;;
