province;year;month;n_events_mm;onset_mm;n_events_acled;onset_acled;source;price_usd_2015;benchmark_2015_adj;bmgap2015adj;price_growth_3m;fuel_dependency_hbsir;subsidy_x_fueldep_hbsir;onset;time_id;brent_shock;unemployment_rate;inflation_rate;s_t;s_dummy;brent_x_fueldep;bmgap_c;fueldep_c;subsidy_x_fueldep_c;brent_x_fueldep_c;urbanization_cluster
Ardabil;2005;1;0;0;NA;NA;MM;0.1113983297;0.4625721632;-0.3511738335;NA;0.07379579693527537;-0.0259151529059482;0;200501;NA;11. Jun;13.433.118.008.508;0.209330958434901;0;NA;0.0886750299927605;-0.15014980962237906;-0.013314538871671742;NA;3
Ardabil;2005;2;0;0;NA;NA;MM;0.1108054671;0.5159433613;-0.4051378943;NA;0.07379579693527537;-0.02989747377854786;0;200502;NA;11. Jun;13.433.118.008.508;0.209330958434901;0;NA;0.034710969192760455;-0.15014980962237906;-0.005211845416101247;NA;3
Ardabil;2005;3;0;0;NA;NA;MM;0.1102934719;0.5044811909;-0.394187719;-0.01354422363;0.07379579693527537;-0.02908939686570338;0;200503;NA;11. Jun;13.433.118.008.508;0.209330958434901;0;NA;0.045661144492760486;-0.15014980962237906;-0.006856012152727929;NA;3
Ardabil;2005;4;0;0;NA;NA;MM;0.1098895258;0.6175289539;-0.5076394281;-0.01414247788;0.07379579693527537;-0.03746165615240691;0;200504;NA;11. Jun;13.433.118.008.508;0.163745162311471;0;NA;-0.06779056460723948;-0.15014980962237906;0.010178740369970596;NA;3
Ardabil;2005;5;0;0;NA;NA;MM;0.1092384032;0.5523213779;-0.4430829746;-0.0153348501;0.07379579693527537;-0.03269766121905938;0;200505;NA;11. Jun;13.433.118.008.508;0.163745162311471;0;NA;-0.0032341111072395345;-0.15014980962237906;4,86E+11;NA;3
Ardabil;2005;6;0;0;NA;NA;MM;0.1086021381;0.5752802594;-0.4666781213;-0.01486671164;0.07379579693527537;-0.0344388838735906;0;200506;NA;11. Jun;13.433.118.008.508;0.163745162311471;0;NA;-0.026829257807239548;-0.15014980962237906;0.004028407952066745;NA;3
Ardabil;2005;7;0;0;NA;NA;MM;0.1082558299;0.60061404920000006;-0.4923582193;-0.01072681176;0.07379579693527537;-0.03633396717087658;0;200507;NA;11. Jun;13.433.118.008.508;0.187768689560804;0;NA;-0.05250935580723953;-0.15014980962237906;0.00788426977785078;NA;3
Ardabil;2005;8;0;0;NA;NA;MM;0.1080666234;0.6360911141;-0.5280244907;-0.008261303891;0.07379579693527537;-0.0389659880925494;0;200508;NA;11. Jun;13.433.118.008.508;0.187768689560804;0;NA;-0.08817562720723954;-0.15014980962237906;0.013239553638500884;NA;3
Ardabil;2005;9;0;0;NA;NA;MM;0.1077049428;1.026.718.397;-0.9190134541;-0.0116957483;0.07379579693527537;-0.06781933023954961;0;200509;NA;11. Jun;13.433.118.008.508;0.187768689560804;0;NA;-0.47916459060723954;-0.15014980962237906;0.07194647205746221;NA;3
Ardabil;2005;10;0;0;NA;NA;MM;0.1069896969;0.7593737557;-0.6523840587;-0.01457069295;0.07379579693527537;-0.04814320151963597;0;200510;NA;11. Jun;13.433.118.008.508;0.108752259289894;0;NA;-0.21253519520723957;-0.15014980962237906;0.03191211909842219;NA;3
Ardabil;2005;11;0;0;NA;NA;MM;0.1064920178;0.5861320925;-0.4796400747;-0.01426726194;0.07379579693527537;-0.03539542155458151;0;200511;NA;11. Jun;13.433.118.008.508;0.108752259289894;0;NA;-0.039791211207239496;-0.15014980962237906;0.005974642787410886;NA;3
Ardabil;2005;12;0;0;NA;NA;MM;0.1061682882;0.5914646778;-0.4852963896;-0.01137194449;0.07379579693527537;-0.03581283382034388;0;200512;NA;11. Jun;13.433.118.008.508;0.108752259289894;0;NA;-0.04544752610723951;-0.15014980962237906;0.006823937392810115;NA;3
Ardabil;2006;1;0;0;NA;NA;MM;0.105773016;0.6642466696;-0.5584736536;-0.01090493959;0.07634631473204526;-0.04263740532730082;0;200601;8.566.894.849.112.230;11. Jan;100.158.982.511.924;0.51934236611656;0;0.6540508504266602;-0.11862479010723953;-0.14759929182560916;0.01750893501279008;-12.644.676.128.734.200;3
Ardabil;2006;2;0;0;NA;NA;MM;0.1053307288;0.6142799914;-0.5089492625;-0.01296969589;0.07634631473204526;-0.03885640057746732;0;200602;4.251.970.245.937.640;11. Jan;100.158.982.511.924;0.51934236611656;0;0.3246222586276471;-0.06910039900723958;-0.14759929182560916;0.010199169958335587;-0.6275877971639572;3
Ardabil;2006;3;0;0;NA;NA;MM;0.1047913178;0.6077752943;-0.5029839766;-0.01275345894;0.07634631473204526;-0.03840097298267929;0;200603;487.883.618.796.662;11. Jan;100.158.982.511.924;0.51934236611656;0;0.37248116313259144;-0.06313511310723957;-0.14759929182560916;0.009318697983958296;-0.7201127662770277;3
Ardabil;2006;4;0;0;NA;NA;MM;0.1044240442;0.7109336431;-0.6065095989;-0.0123407696;0.07634631473204526;-0.04630477272562593;0;200604;12.327.367.149.758.400;11. Jan;100.158.982.511.924;0.484815529618397;0;0.9411490522329355;-0.16666073540723952;-0.14759929182560916;0.02459900652124378;-18.195.106.613.786.200;3
Ardabil;2006;5;0;0;NA;NA;MM;0.1040308666;0.7821085515;-0.678077685;-0.01150325648;0.07634631473204526;-0.05176873235178664;0;200605;10.312.974.465.148.300;11. Jan;100.158.982.511.924;0.484815529618397;0;0.7873575943397643;-0.2382288215072395;-0.14759929182560916;0.035162405346918;-1.522.187.727.671.490;3
Ardabil;2006;6;0;0;NA;NA;MM;0.1035858764;0.7512764204;-0.6476905441;-0.01123691879;0.07634631473204526;-0.04944878612882824;0;200606;7.330.968.536.294.640;11. Jan;100.158.982.511.924;0.484815529618397;0;0.5596924311626718;-0.20784168060723957;-0.14759929182560916;0.030677284869473003;-10.820.457.643.529.100;3
Ardabil;2006;7;0;0;NA;NA;MM;0.1032506397;0.8026158657;-0.699365226;-0.01007516683;0.07634631473204526;-0.05339395765684395;0;200607;11.265.898.189.974.200;11. Jan;100.158.982.511.924;0.42925078373107;0;0.8601098089509559;-0.2595163625072395;-0.14759929182560916;0.03830443132322661;-16.628.385.946.196.100;3
