province,mm_onset_pct,acled_onset_pct
Tehran,23.33333333333333,1.6666666666666643
Fars,13.333333333333336,1.6666666666666643
Khuzestan,13.333333333333336,1.6666666666666643
Ardabil,11.666666666666664,6.666666666666668
Bushehr,11.666666666666664,1.6666666666666643
Chaharmahal and Bakhtiari,11.666666666666664,6.666666666666668
East Azerbaijan,11.666666666666664,1.6666666666666643
Gilan,11.666666666666664,1.6666666666666643
Golestan,11.666666666666664,10.000000000000002
Hamedan,11.666666666666664,11.666666666666664
Hormozgan,11.666666666666664,1.6666666666666643
Ilam,11.666666666666664,8.333333333333332
Isfahan,11.666666666666664,1.6666666666666643
Kerman,11.666666666666664,1.6666666666666643
Kermanshah,11.666666666666664,3.33333333333333
Kohgiluyeh and Boyer-Ahmad,11.666666666666664,3.333333333333334
Kurdistan,11.666666666666664,1.6666666666666643
Lorestan,11.666666666666664,1.6666666666666643
Markazi,11.666666666666664,3.333333333333334
Mazandaran,11.666666666666664,3.333333333333334
North Khorasan,11.666666666666664,10
Qazvin,11.666666666666664,3.333333333333329
Qom,11.666666666666664,13.333333333333336
Razavi Khorasan,11.666666666666664,1.6666666666666643
Semnan,11.666666666666664,6.666666666666668
Sistan and Baluchestan,11.666666666666664,1.6666666666666643
South Khorasan,11.666666666666664,11.666666666666666
West Azerbaijan,11.666666666666664,5.000000000000001
Yazd,11.666666666666664,4.999999999999998
Zanjan,11.666666666666664,4.999999999999998
