date,cpi,yearmonth
2021-08-01,272.676,2021-08
2021-09-01,273.91,2021-09
2021-10-01,276.55,2021-10
2021-11-01,278.919,2021-11
2021-12-01,280.845,2021-12
2022-01-01,282.543,2022-01
2022-02-01,284.5,2022-02
2022-03-01,287.674,2022-03
2022-04-01,288.561,2022-04
2022-05-01,291.298,2022-05
2022-06-01,294.957,2022-06
2022-07-01,294.913,2022-07
2022-08-01,295.097,2022-08
2022-09-01,296.349,2022-09
2022-10-01,298.007,2022-10
2022-11-01,298.786,2022-11
2022-12-01,298.832,2022-12
